"NUTS_ID","long","lat","U_pc_2012","EUR_HAB_EU_2011","EUR_HAB_EU_2010","TechEmp_2012"
"AT11",16.5296380672012,47.5464741594656,4.5,96,95,3.1
"AT12",15.7768319013368,48.2691625327422,4.3,117,115,3.3
"AT13",16.3657026406123,48.2211637849777,8.5,182,182,5.8
"AT21",13.9601055138433,46.7687573928139,4.8,121,118,3.8
"AT22",15.0288665096254,47.2647376387122,3.9,124,121,2.6
"AT31",13.9734928565131,48.1331870979117,3.2,143,139,2.6
"AT32",13.1029456602343,47.3791923181841,2.7,165,162,2.7
"AT33",11.3173386495547,47.2517123763258,2.4,147,145,3.4
"AT34",9.90910163386956,47.2291591493618,3.7,151,148,2.4
"CZ01",14.4749485038486,50.0647294615862,3,125,125,7.9
"CZ02",14.5470695746201,50.0028159339699,4.6,53,52,5.2
"CZ03",13.9230779175501,49.3047625810984,5.1,51,51,3
"CZ04",13.445393916993,50.3966040203928,10.2,46,46,1.9
"CZ05",15.7523543735933,50.2875604643488,7.6,48,48,4.8
"CZ06",16.1633595036968,49.2438106521982,7.4,53,53,4.3
"CZ07",17.4242465300257,49.5266994060959,7.4,48,47,3.6
"CZ08",17.9764972436117,49.82142046039,9.3,52,49,3.2
"DE11",9.62324615047716,49.0200823226218,3.4,157,152,4.6
"DE12",8.68410981579631,49.0294021155379,4,140,139,6.2
"DE13",8.22915952229756,48.0167742037627,2.8,125,121,5.4
"DE14",9.49599035548209,48.1359251885681,2.6,137,132,5.6
"DE21",11.7479987629295,48.1057325096413,2.7,174,171,7.7
"DE22",12.7825332541786,48.6996518544521,3.2,130,124,2.6
"DE23",12.1181508277765,49.3926506114689,3.1,134,129,4.3
"DE24",11.3809661692145,50.055964388822,3.1,120,117,2.5
"DE25",10.7891272518369,49.3499344547486,3.4,138,134,4.8
"DE26",9.95288049521651,50.0144888304973,3.3,130,126,3.2
"DE27",10.5221447147851,48.1623271108699,3.1,129,125,3.4
"DE30",13.4088819210759,52.5023566563344,10.4,117,118,7.4
"DE40",13.3897511755328,52.4760707796149,8.1,91,89,3.2
"DE50",8.77337535810184,53.1121682323994,6.4,164,164,3.6
"DE60",10.0320322556091,53.5494608577882,5.4,209,212,5.1
"DE71",8.76774408628915,50.0618602514663,4.7,167,166,6.5
"DE72",8.75492587990742,50.6402963359048,5,116,113,5
"DE73",9.45286626158232,51.0590749926084,4.5,122,120,2.9
"DE80",12.5185574820567,53.7322721271356,10.8,87,86,1.9
"DE91",10.3471374346783,52.0349114616135,5.5,129,122,3.5
"DE92",9.35543350226069,52.4002579782824,5.4,124,123,3.3
"DE93",9.78769273306432,53.1823409969625,4.3,88,87,2.6
"DE94",7.77651090082685,52.9330202667514,4.2,113,112,1.7
"DEA1",6.59758033301579,51.4366788104137,6.4,142,141,3.8
"DEA2",6.78062288492318,50.8275297362114,5.3,134,134,5.7
"DEA3",7.43711020699506,51.9522334205892,4.9,115,113,2.5
"DEA4",8.79417617595904,51.9356217410815,4.7,125,123,3.5
"DEA5",7.99997662315597,51.3130256816264,6.6,117,114,2.9
"DEB1",7.5150218648088,50.2542654507257,3.9,111,109,2.9
"DEB2",6.68604861854659,49.9869619690694,2.7,104,102,3
"DEB3",7.94309362981272,49.4615150548688,4.2,121,119,4.5
"DEC0",6.93555480578143,49.4010522762505,6.1,125,120,3.2
"DED2",14.125037761334,51.1786219649504,7.7,92,91,5.2
"DED4",12.7933866232328,50.7134164114449,8.1,89,88,2.5
"DED5",12.667752258096,51.3530278674598,9.7,98,96,4.8
"DEE0",11.710703936565,52.0051723693909,9.6,89,89,2.1
"DEF0",9.82824267186721,54.1635441690335,4.9,107,105,3.6
"DEG0",11.0137650187091,50.9020479089533,7.3,88,86,3.5
"HU10",19.3378821235325,47.4254989183401,9.4,65,65,7.6
"HU21",18.1369868485307,47.229942666388,9.7,35,35,4.8
"HU22",16.9967266148078,47.1911665728259,7.4,40,39,4.8
"HU23",18.0297472618028,46.3249028807362,12,26,27,3
"HU31",20.4802735396067,48.0406201316219,15.9,24,24,5.1
"HU32",21.3495232906379,47.5882703396206,13.7,25,25,3.5
"HU33",20.0700170612849,46.5953743316009,10.2,26,26,2.6
"PL11",19.4247697869763,51.6078414216777,10.9,36,35,2.6
"PL12",21.1023966408847,52.3408997908542,7.9,63,62,5.7
"PL21",20.2609654722626,49.8647309342838,10.3,33,32,3
"PL22",18.9941264867873,50.3233316458647,9.3,41,41,2.5
"PL31",22.9043888343649,51.2237415991404,10.4,26,25,1.6
"PL32",22.1710703746859,49.9571875399842,13.3,26,25,1.6
"PL33",20.7638860382085,50.7597396869626,13.3,29,29,0.9
"PL34",22.9312054537923,53.2676953410089,9.2,28,27,1.4
"PL41",17.2445672845057,52.3230946088861,8.4,40,39,1.7
"PL42",15.5572815719718,53.5759942552019,10.7,32,33,1.6
"PL43",15.3312644589982,52.187423143151,8.8,32,32,2.4
"PL51",16.3973681866195,51.0783418802408,10.9,44,42,4.1
"PL52",17.8952459662333,50.6510884826031,9.3,31,31,1.6
"PL61",18.4863651959682,53.0764638184224,11.7,32,32,2.2
"PL62",20.8282628215496,53.8521816811065,10.8,28,27,1.2
"PL63",17.9821217453075,54.1509936513768,9.4,37,36,4.1
"SK01",17.1869111000726,48.3042381113365,5.6,126,120,8.6
"SK02",18.0653145923159,48.4193271816753,11.1,49,47,3.9
"SK03",19.3607142071989,48.7920901160142,15.6,40,41,3
"SK04",21.2248652986135,48.9382918360983,18.4,35,34,2.6
